repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
11ty/eleventy,784,127,1,0.007874,2026-03-02T11:32:08.879220+00:00
15Dkatz/official_joke_api,538,99,0,0.0,2026-03-02T11:32:08.879220+00:00
1j01/jspaint,1250,171,2,0.011696,2026-03-02T11:32:08.879220+00:00
AMAI-GmbH/AI-Expert-Roadmap,1212,196,1,0.005102,2026-03-02T11:32:08.879220+00:00
AR-js-org/AR.js,257,53,0,0.0,2026-03-02T11:32:08.879220+00:00
Aerolab/blockrain.js,242,44,1,0.022727,2026-03-02T11:32:08.879220+00:00
ApoorvSaxena/lozad.js,970,141,0,0.0,2026-03-02T11:32:08.879220+00:00
Azgaar/Fantasy-Map-Generator,191,33,1,0.030303,2026-03-02T11:32:08.879220+00:00
BMayhew/awesome-sites-to-test-on,62,31,0,0.0,2026-03-02T11:32:08.879220+00:00
BrasilAPI/BrasilAPI,868,174,1,0.005747,2026-03-02T11:32:08.879220+00:00
BrowserSync/browser-sync,594,119,0,0.0,2026-03-02T11:32:08.879220+00:00
Chalarangelo/30-seconds-of-interviews,763,177,0,0.0,2026-03-02T11:32:08.879220+00:00
Charca/bootbot,85,44,0,0.0,2026-03-02T11:32:08.879220+00:00
CodeGenieApp/serverless-express,1034,157,0,0.0,2026-03-02T11:32:08.879220+00:00
ConardLi/easy-dataset,1326,233,2,0.008584,2026-03-02T11:32:08.879220+00:00
ConsenSys-archive/ganache-ui,3012,318,2,0.006289,2026-03-02T11:32:08.879220+00:00
Countly/countly-server,943,166,1,0.006024,2026-03-02T11:32:08.879220+00:00
Dash-Industry-Forum/dash.js,778,166,0,0.0,2026-03-02T11:32:08.879220+00:00
DavidHDev/react-bits,665,89,1,0.011236,2026-03-02T11:32:08.879220+00:00
DevExpress/testcafe,1258,175,0,0.0,2026-03-02T11:32:08.879220+00:00
EddieHubCommunity/BioDrop,1571,228,0,0.0,2026-03-02T11:32:08.879220+00:00
ElemeFE/v-charts,1198,296,0,0.0,2026-03-02T11:32:08.879220+00:00
