repo_full_name,default_branch,stars,lockfile_path,collected_at
BrasilAPI/BrasilAPI,main,10270,package-lock.json,2026-03-01T10:34:32.199211+00:00
ConsenSys-archive/ganache-ui,develop,4716,package-lock.json,2026-03-01T10:34:32.458097+00:00
ExactTarget/fuelux,master,5152,package-lock.json,2026-03-01T10:34:32.752380+00:00
FaisalUmair/udemy-downloader-gui,master,6248,package-lock.json,2026-03-01T10:34:32.970822+00:00
amsul/pickadate.js,master,7681,package-lock.json,2026-03-01T10:34:33.183961+00:00
anvaka/city-roads,main,9029,package-lock.json,2026-03-01T10:34:33.379642+00:00
codecombat/codecombat,master,8437,package-lock.json,2026-03-01T10:34:33.618979+00:00
dice2o/BingGPT,main,9046,package-lock.json,2026-03-01T10:34:33.817412+00:00
evolus/pencil,master,9586,package-lock.json,2026-03-01T10:34:34.031136+00:00
jcc/v-distpicker,master,974,package-lock.json,2026-03-01T10:34:34.215485+00:00
kska32/ebooks,master,6833,package-lock.json,2026-03-01T10:34:34.413602+00:00
locomotivemtl/locomotive-scroll,main,8704,package-lock.json,2026-03-01T10:34:34.654926+00:00
ractivejs/ractive,dev,5926,package-lock.json,2026-03-01T10:34:34.870310+00:00
segment-boneyard/nightmare,master,19972,package-lock.json,2026-03-01T10:34:35.128437+00:00
serverless/aws-ai-stack,main,993,package-lock.json,2026-03-01T10:34:35.504157+00:00
shentao/vue-multiselect,master,6783,package-lock.json,2026-03-01T10:34:35.694791+00:00
sweet-js/sweet-core,master,4568,package-lock.json,2026-03-01T10:34:35.902951+00:00
tech-shrimp/gemini-playground,main,968,package-lock.json,2026-03-01T10:34:36.102317+00:00
tomayac/SVGcode,main,969,package-lock.json,2026-03-01T10:34:36.289249+00:00
uilibrary/matx-react,master,972,package-lock.json,2026-03-01T10:34:36.515998+00:00
