repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
60secondAppsAI/testapp1202-0001,13,2,0,0.0,2026-03-27T11:49:09.314961+00:00
Aiden-leee/mypharm,16,84,0,0.0,2026-03-27T11:49:09.314961+00:00
AlbaneCar/AlphaPlan,17,28,0,0.0,2026-03-27T11:49:09.314961+00:00
Aleinek/Go_Game,12,69,0,0.0,2026-03-27T11:49:09.314961+00:00
Algezz/sis2,10,14,2,0.142857,2026-03-27T11:49:09.314961+00:00
AyoHandGod/UserSignIn,11,39,3,0.076923,2026-03-27T11:49:09.314961+00:00
BountySecurity/BountyPrompt,10,70,0,0.0,2026-03-27T11:49:09.314961+00:00
ConstantinQaDev/RestAssured_Project,14,75,2,0.026667,2026-03-27T11:49:09.314961+00:00
DataONEorg/dataone-indexer,22,11,0,0.0,2026-03-27T11:49:09.314961+00:00
DimaOshchepkov/Converter,11,77,0,0.0,2026-03-27T11:49:09.314961+00:00
DipanshiMukati/UseCase3,11,19,0,0.0,2026-03-27T11:49:09.314961+00:00
Eli-J-Devco/datareading,34,34,0,0.0,2026-03-27T11:49:09.314961+00:00
GraduationProject-ssm/ssm564,20,112,3,0.026786,2026-03-27T11:49:09.314961+00:00
GraduationProject-ssm/ssm638,20,112,3,0.026786,2026-03-27T11:49:09.314961+00:00
GraduationProject-ssm/ssm776,20,112,3,0.026786,2026-03-27T11:49:09.314961+00:00
HiralChothani/Week_15_HW_Project-3-com-luma-sw-6,13,14,0,0.0,2026-03-27T11:49:09.314961+00:00
Hunter04-26/mule-test,22,107,2,0.018692,2026-03-27T11:49:09.314961+00:00
HuyHoang091/game,10,78,0,0.0,2026-03-27T11:49:09.314961+00:00
Jacksn2014/Kettle-Plugin-Master,10,1,0,0.0,2026-03-27T11:49:09.314961+00:00
JakartaDependent/UniClass-Dependability,31,78,0,0.0,2026-03-27T11:49:09.314961+00:00
Joaquiito/Software-Architecture-3.1,13,13,0,0.0,2026-03-27T11:49:09.314961+00:00
Kagu-Cafe/Kagu,44,35,2,0.057143,2026-03-27T11:49:09.314961+00:00
Maplekarna/TimeLive,13,96,1,0.010417,2026-03-27T11:49:09.314961+00:00
May241175/webddddd,19,30,1,0.033333,2026-03-27T11:49:09.314961+00:00
MystWeb/foodie-shop,14,8,0,0.0,2026-03-27T11:49:09.314961+00:00
Naru2603/REST-api-assignment-using-springMVC,11,82,1,0.012195,2026-03-27T11:49:09.314961+00:00
Polalise/Project_Final,29,88,0,0.0,2026-03-27T11:49:09.314961+00:00
Polytech-SW-Devs/GAGI,18,92,0,0.0,2026-03-27T11:49:09.314961+00:00
SebastienDS/CloneWar,14,69,0,0.0,2026-03-27T11:49:09.314961+00:00
Shivshive/CucumberJunit5Example,12,6,0,0.0,2026-03-27T11:49:09.314961+00:00
Smd04/exam-2025,10,75,0,0.0,2026-03-27T11:49:09.314961+00:00
Sobottasgithub/VocabHub,14,73,0,0.0,2026-03-27T11:49:09.314961+00:00
SudeshSudeera/Flutter-Collect-Data-App,11,11,0,0.0,2026-03-27T11:49:09.314961+00:00
SwapnilPadekar/ATB6xRestAssuredAPIs,12,71,0,0.0,2026-03-27T11:49:09.314961+00:00
Syl-Ying/SkierRide,13,2,0,0.0,2026-03-27T11:49:09.314961+00:00
Trungtran47/Mock_Project_coffee-shop-manager,15,86,0,0.0,2026-03-27T11:49:09.314961+00:00
UpekaFernando/university-specialization-adviserfinder,14,8,0,0.0,2026-03-27T11:49:09.314961+00:00
Urvashii-Dubey/FlipkartAutomationProject,14,14,2,0.142857,2026-03-27T11:49:09.314961+00:00
Vickyrai01/TPA-DDSI-Meta-mapa-Grupo-8-,16,13,0,0.0,2026-03-27T11:49:09.314961+00:00
ZhaoZan010903/YouBili,31,87,0,0.0,2026-03-27T11:49:09.314961+00:00
Zied310/arthive-client,10,75,0,0.0,2026-03-27T11:49:09.314961+00:00
amolchavan777/AppDependencyModelerMaven_FULL,12,90,2,0.022222,2026-03-27T11:49:09.314961+00:00
anhtester/CucumberTestNG022023,19,8,0,0.0,2026-03-27T11:49:09.314961+00:00
anhtester/PlaywrightJava,13,11,0,0.0,2026-03-27T11:49:09.314961+00:00
ao/Serengeti,23,12,0,0.0,2026-03-27T11:49:09.314961+00:00
causalnet/autojdk-maven-plugin,10,2,0,0.0,2026-03-27T11:49:09.314961+00:00
chaichatchai13/magmutual-takehome-project,12,6,0,0.0,2026-03-27T11:49:09.314961+00:00
chl31031/JOPOP,22,90,0,0.0,2026-03-27T11:49:09.314961+00:00
choisunghwan/SMARTFACTORY,41,40,0,0.0,2026-03-27T11:49:09.314961+00:00
cremerica/WebGoat,31,141,5,0.035461,2026-03-27T11:49:09.314961+00:00
cronoxxxx/FruteriaFX-1DAM,10,6,2,0.333333,2026-03-27T11:49:09.314961+00:00
dineshGitHub93/java_practice,31,91,2,0.021978,2026-03-27T11:49:09.314961+00:00
eicc27/DL2,10,82,0,0.0,2026-03-27T11:49:09.314961+00:00
ericchenhw/EECSE6694_sc5534_hc3515,10,82,0,0.0,2026-03-27T11:49:09.314961+00:00
eylee02/springstudy,10,75,0,0.0,2026-03-27T11:49:09.314961+00:00
fabolhak/anguilla-search,11,8,2,0.25,2026-03-27T11:49:09.314961+00:00
feoyang/flea-market,23,19,0,0.0,2026-03-27T11:49:09.314961+00:00
guin-D/Library-Management-System,16,81,0,0.0,2026-03-27T11:49:09.314961+00:00
havanara/240423_SPRING_Project,21,102,0,0.0,2026-03-27T11:49:09.314961+00:00
hjsdjko/jspmc5s61664,15,112,3,0.026786,2026-03-27T11:49:09.314961+00:00
hjsdjko/ssmxxxx1,14,115,3,0.026087,2026-03-27T11:49:09.314961+00:00
hnbn78/spider,19,35,0,0.0,2026-03-27T11:49:09.314961+00:00
it-at-m/agile-test-automation-framework,10,4,0,0.0,2026-03-27T11:49:09.314961+00:00
jermainscott/Selenium_PageObjectModel,11,72,0,0.0,2026-03-27T11:49:09.314961+00:00
joeliruby/base-platform,26,17,0,0.0,2026-03-27T11:49:09.314961+00:00
kkwh/java_lec_web,11,5,2,0.4,2026-03-27T11:49:09.314961+00:00
komi-assimpah/SOPHIAEATS-campus-food-delivery,10,72,0,0.0,2026-03-27T11:49:09.314961+00:00
kunner-gitbub/selenium-web-test,12,8,2,0.25,2026-03-27T11:49:09.314961+00:00
kunpengcompute/omnidata-openlookeng-connector,10,4,0,0.0,2026-03-27T11:49:09.314961+00:00
kurtulussahin/java-education,28,81,0,0.0,2026-03-27T11:49:09.314961+00:00
lia209248/Markora,15,82,2,0.02439,2026-03-27T11:49:09.314961+00:00
linyuelin/helloworld,11,86,1,0.011628,2026-03-27T11:49:09.314961+00:00
lokakarya-ogya-kelompok-2/be,15,78,0,0.0,2026-03-27T11:49:09.314961+00:00
lokeshsolanki728/Project_03,11,19,0,0.0,2026-03-27T11:49:09.314961+00:00
lqz72/xRPC,11,8,2,0.25,2026-03-27T11:49:09.314961+00:00
lyhai1502/MobileStore_Springboot,13,5,0,0.0,2026-03-27T11:49:09.314961+00:00
maddie480/RandomBackendStuff,14,79,0,0.0,2026-03-27T11:49:09.314961+00:00
miyoung-park/be-my-friends,31,97,0,0.0,2026-03-27T11:49:09.314961+00:00
neptuneMFBank/TMS_CBA_WRAPPER,15,77,0,0.0,2026-03-27T11:49:09.314961+00:00
nileshkumarpatil-qapitol/Task2,13,22,2,0.090909,2026-03-27T11:49:09.314961+00:00
pagopa/pn-pdfraster,14,2,0,0.0,2026-03-27T11:49:09.314961+00:00
paulo-maculuve/mpesa-sdk-java,10,73,0,0.0,2026-03-27T11:49:09.314961+00:00
piatek84/persitenceService,11,0,0,0.0,2026-03-27T11:49:09.314961+00:00
rbalendra/employeecreator,10,4,0,0.0,2026-03-27T11:49:09.314961+00:00
rdhandapani88/PlaywrightJava,13,11,0,0.0,2026-03-27T11:49:09.314961+00:00
reseltbitcamp/reselt,30,115,0,0.0,2026-03-27T11:49:09.314961+00:00
rfhfwe/bft_study,14,8,0,0.0,2026-03-27T11:49:09.314961+00:00
rkawk775/JOPOP-Web,22,90,0,0.0,2026-03-27T11:49:09.314961+00:00
roocl/note_community,14,11,0,0.0,2026-03-27T11:49:09.314961+00:00
salwaalimoussa/Projet_app_web,10,0,0,0.0,2026-03-27T11:49:09.314961+00:00
seculayer/AutoAPE-mrms,16,13,0,0.0,2026-03-27T11:49:09.314961+00:00
sflanaga/asn1play,13,76,0,0.0,2026-03-27T11:49:09.314961+00:00
shivpalSW/BDD_CUCUMBER_AutomationTestingDraft,13,8,0,0.0,2026-03-27T11:49:09.314961+00:00
simeunwoo/2024-04-11-SpringStudy,60,115,0,0.0,2026-03-27T11:49:09.314961+00:00
sksingh329/RestAssuredFramework,10,70,0,0.0,2026-03-27T11:49:09.314961+00:00
stubbornwdb/werpc,11,72,0,0.0,2026-03-27T11:49:09.314961+00:00
thaibinh156/user-service,11,5,2,0.4,2026-03-27T11:49:09.314961+00:00
tranminhnhut9999/recruitment-system-backend,12,80,0,0.0,2026-03-27T11:49:09.314961+00:00
twotwoyyy/SpringStudy,60,115,0,0.0,2026-03-27T11:49:09.314961+00:00
vadympop/ShooterGame,14,78,2,0.025641,2026-03-27T11:49:09.314961+00:00
vanhung4499/code4rum,10,2,0,0.0,2026-03-27T11:49:09.314961+00:00
veeva/vault-api-library,11,76,2,0.026316,2026-03-27T11:49:09.314961+00:00
venkatchel/Bank_Ledger,12,4,0,0.0,2026-03-27T11:49:09.314961+00:00
vuchungbt/haivl-jakarta,16,8,0,0.0,2026-03-27T11:49:09.314961+00:00
watashijxxnsuka/SpringFramework_EX,14,70,0,0.0,2026-03-27T11:49:09.314961+00:00
zeptoh/inventory-kit-workflow,13,70,0,0.0,2026-03-27T11:49:09.314961+00:00
