repo_full_name,default_branch,stars,lockfile_path,collected_at
wucao/JDeploy,main,0,pom.xml,2026-03-27T11:45:54.861148+00:00
LinkedInAttic/cleo,main,0,pom.xml,2026-03-27T11:45:54.861166+00:00
yahoo/HaloDB,main,0,pom.xml,2026-03-27T11:45:54.861170+00:00
pinterest/secor,main,0,pom.xml,2026-03-27T11:45:54.861174+00:00
iqq-team/iqq,main,0,pom.xml,2026-03-27T11:45:54.861177+00:00
nmyphp/tbschedule,main,0,pom.xml,2026-03-27T11:45:54.861180+00:00
alibaba/wasp,main,0,pom.xml,2026-03-27T11:45:54.861183+00:00
h3xstream/burp-retire-js,main,0,pom.xml,2026-03-27T11:45:54.861188+00:00
PlayPro/CoreProtect,main,0,pom.xml,2026-03-27T11:45:54.861191+00:00
keikai/dev-ref,main,0,pom.xml,2026-03-27T11:45:54.861193+00:00
afd/graphicsfuzz,main,0,tool/pom.xml,2026-03-27T11:45:54.861203+00:00
msokolov/lux,main,0,pom.xml,2026-03-27T11:45:54.861206+00:00
NitorCreations/nflow,main,0,pom.xml,2026-03-27T11:45:54.861209+00:00
yangchenjava/com.yangc.platform,main,0,pom.xml,2026-03-27T11:45:54.861211+00:00
EugeneYilia/ServletContainer,main,0,pom.xml,2026-03-27T11:45:54.861214+00:00
serkan-ozal/mysafe,main,0,pom.xml,2026-03-27T11:45:54.861216+00:00
seculayer/AutoAPE-mrms,main,0,pom.xml,2026-03-27T11:45:54.861218+00:00
dengxiangjun/OfficeAutomation,main,0,pom.xml,2026-03-27T11:45:54.861221+00:00
ep-infosec/50_google_graphicsfuzz,main,0,parent-all/pom.xml,2026-03-27T11:45:54.861227+00:00
bitwaitcom/bitwaitcom.github.io,main,0,pom.xml,2026-03-27T11:45:54.861232+00:00
ebi-uniprot/uniprot-rest-api,main,0,pom.xml,2026-03-27T11:45:54.861235+00:00
siddhi-io/siddhi-io-sqs,main,0,pom.xml,2026-03-27T11:45:54.861237+00:00
samer-abdelkafi/ssng-project,main,0,pom.xml,2026-03-27T11:45:54.861240+00:00
kimios/kimios,main,0,kimios-bonita/pom.xml,2026-03-27T11:45:54.861243+00:00
Hapag-Lloyd/log4j2-filtered-stacktrace-plugin,main,0,pom.xml,2026-03-27T11:45:54.861246+00:00
metanet-ci/joker,main,0,pom.xml,2026-03-27T11:45:54.861248+00:00
clarin-eric/harvest-manager,main,0,pom.xml,2026-03-27T11:45:54.861251+00:00
veeva/vault-api-library,main,0,pom.xml,2026-03-27T11:45:54.861255+00:00
longlylong/spring-cloud-alibaba,main,0,pom.xml,2026-03-27T11:45:54.861259+00:00
leobispo/tinyhttp,main,0,pom.xml,2026-03-27T11:45:54.861261+00:00
issa-khodadadi/kafka-master,main,0,pom.xml,2026-03-27T11:45:54.861264+00:00
git-simm/simm-framework,main,0,pom.xml,2026-03-27T11:45:54.861266+00:00
seam/solder,main,0,pom.xml,2026-03-27T11:45:54.861269+00:00
aws-samples/aws-athena-udfs-textanalytics,main,0,pom.xml,2026-03-27T11:45:54.861271+00:00
mlipski00/ForeignExchangePlatform,main,0,pom.xml,2026-03-27T11:45:54.861274+00:00
urbancamo/javaapiforkml,main,0,pom.xml,2026-03-27T11:45:54.861276+00:00
padrig64/MultitouchFramework,main,0,pom.xml,2026-03-27T11:45:54.861278+00:00
logan2013/zztuoCoinExchange,main,0,00_framework/pom.xml,2026-03-27T11:45:54.861281+00:00
jfree/graphics2d-tester,main,0,pom.xml,2026-03-27T11:45:54.861284+00:00
JanusGraph/janusgraph-foundationdb,main,0,pom.xml,2026-03-27T11:45:54.861288+00:00
everyTouchGreen/ScheduleManager,main,0,pom.xml,2026-03-27T11:45:54.861294+00:00
qugemingzizhemefeijin/scf,main,0,pom.xml,2026-03-27T11:45:54.861297+00:00
eltex-ecss/eltex-junit-workshop,main,0,pom.xml,2026-03-27T11:45:54.861299+00:00
Dataman-Cloud/pike,main,0,pom.xml,2026-03-27T11:45:54.861302+00:00
blindsidenetworks/bigbluebutton-api,main,0,pom.xml,2026-03-27T11:45:54.861304+00:00
omanand/spring-data-redis-demo,main,0,pom.xml,2026-03-27T11:45:54.861308+00:00
ELIT2014/essuir,main,0,dspace-rest/pom.xml,2026-03-27T11:45:54.861312+00:00
JavaChinna/spring-rest-jwt-sample,main,0,pom.xml,2026-03-27T11:45:54.861314+00:00
NextMark/datashops,main,0,pom.xml,2026-03-27T11:45:54.861316+00:00
sciencesakura/dbsetup-spreadsheet,main,0,pom.xml,2026-03-27T11:45:54.861319+00:00
lmo0731/tcp-bridge,main,0,pom.xml,2026-03-27T11:45:54.861321+00:00
andyglick/apache-ignite,main,0,pom.xml,2026-03-27T11:45:54.861324+00:00
LHNCBC/skr-semrepjava,main,0,pom.xml,2026-03-27T11:45:54.861326+00:00
lephuoccan/iotserver,main,0,pom.xml,2026-03-27T11:45:54.861329+00:00
Kendanware/jme3-lwjgl3-demo,main,0,pom.xml,2026-03-27T11:45:54.861331+00:00
kio569874/taxation,main,0,pom.xml,2026-03-27T11:45:54.861334+00:00
intensiongmbh/keycloak-sendinblue,main,0,pom.xml,2026-03-27T11:45:54.861336+00:00
NDPMediaCorp/druid-io,main,0,pom.xml,2026-03-27T11:45:54.861338+00:00
star-love-letter/star-love-letter-back,main,0,pom.xml,2026-03-27T11:45:54.861341+00:00
