repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
0pmm/Chatbot-FURIA,38,71,0,0.0,2026-03-27T03:46:08.875794+00:00
3asyPe/twitter-automation,29,33,0,0.0,2026-03-27T03:46:08.875794+00:00
Alan-Camacho-Restrepo/Proyecto1_lambtha,29,43,0,0.0,2026-03-27T03:46:08.875794+00:00
AlanJui/poetry-tshu-im,30,4,0,0.0,2026-03-27T03:46:08.875794+00:00
AleksiSaxlund/TiraLabra,20,0,0,0.0,2026-03-27T03:46:08.875794+00:00
Asugawara/GithubAction2Slack,26,8,0,0.0,2026-03-27T03:46:08.875794+00:00
AzuGitGud/IITMOD-QSA,10,24,0,0.0,2026-03-27T03:46:08.875794+00:00
Big-Mike-Edahow/Flask_Mega_Tutorial,15,24,0,0.0,2026-03-27T03:46:08.875794+00:00
CrispyCrafter/PexPOC,18,31,1,0.032258,2026-03-27T03:46:08.875794+00:00
DMC09/grocer-app-backend,39,109,0,0.0,2026-03-27T03:46:08.875794+00:00
Drusseldorf/learning_fastapi,32,20,0,0.0,2026-03-27T03:46:08.875794+00:00
E-Kryuger/Project_1_SkyBank,31,42,0,0.0,2026-03-27T03:46:08.875794+00:00
ElSnoMan/road-to-blockchain,40,126,0,0.0,2026-03-27T03:46:08.875794+00:00
Electro-Lite/Draci_zvesti_python,14,61,0,0.0,2026-03-27T03:46:08.875794+00:00
ErickMUOSD/YoutubeVideoToMp3,17,43,0,0.0,2026-03-27T03:46:08.875794+00:00
Focus-Bear-analytics/digital-interventions-review-analysis,28,57,0,0.0,2026-03-27T03:46:08.875794+00:00
Freifunk-Potsdam/ansible-freifunk-gateways,34,37,0,0.0,2026-03-27T03:46:08.875794+00:00
Gabdulla-Khakiev/vacancies_search_with_DB,32,42,0,0.0,2026-03-27T03:46:08.875794+00:00
GoogleCloudPlatform/solutions-builder,38,31,0,0.0,2026-03-27T03:46:08.875794+00:00
Graeme-Smith/dx-reports,25,13,0,0.0,2026-03-27T03:46:08.875794+00:00
HackXIt/fhtw-discord-bot-python,17,29,0,0.0,2026-03-27T03:46:08.875794+00:00
Hadi-Mohseni/playstation-store-scraper,33,51,0,0.0,2026-03-27T03:46:08.875794+00:00
Halone228/GeneticAlgorithm,20,29,1,0.034483,2026-03-27T03:46:08.875794+00:00
HuangFuSL/pytorch-project-template,35,10,0,0.0,2026-03-27T03:46:08.875794+00:00
JanB1989/TranscriptCollector,60,49,0,0.0,2026-03-27T03:46:08.875794+00:00
Khapaevv/Diplom,25,136,1,0.007353,2026-03-27T03:46:08.875794+00:00
Kleber-JF/bookstore-ebac,65,127,0,0.0,2026-03-27T03:46:08.875794+00:00
KofiRusu/ContentCreator-0.1,43,57,0,0.0,2026-03-27T03:46:08.875794+00:00
Koodies/fastapi-boilerplate,34,19,0,0.0,2026-03-27T03:46:08.875794+00:00
Koswu/assetverse,12,39,0,0.0,2026-03-27T03:46:08.875794+00:00
LucaGelmini/estacionalidad,20,29,1,0.034483,2026-03-27T03:46:08.875794+00:00
LukasFrickDev/bookstore-django,42,140,0,0.0,2026-03-27T03:46:08.875794+00:00
MTrab/pyddlvector,19,44,1,0.022727,2026-03-27T03:46:08.875794+00:00
Mapboard/topology-manager,35,19,0,0.0,2026-03-27T03:46:08.875794+00:00
MarcosHenriqueBarbosaPereira/S206-pytest-seminar,43,69,0,0.0,2026-03-27T03:46:08.875794+00:00
Mautriz/trippa,22,18,0,0.0,2026-03-27T03:46:08.875794+00:00
MegaDoge1337/otus_django_tutorial,26,118,0,0.0,2026-03-27T03:46:08.875794+00:00
Mentha7/childes-ud,31,23,0,0.0,2026-03-27T03:46:08.875794+00:00
Mr-Takam/testing-project-group-h-lsi2-2026,43,122,0,0.0,2026-03-27T03:46:08.875794+00:00
NadyaTyeva/project14,19,3,0,0.0,2026-03-27T03:46:08.875794+00:00
NasirovEF/homework-24-25,52,184,1,0.005435,2026-03-27T03:46:08.875794+00:00
ONS-Innovation/backstage-perfect-repo,29,14,0,0.0,2026-03-27T03:46:08.875794+00:00
ONS-Innovation/kayla_etl_test_bt,29,14,0,0.0,2026-03-27T03:46:08.875794+00:00
ONS-Innovation/seb-test,29,14,0,0.0,2026-03-27T03:46:08.875794+00:00
Rajan66/FixMyRoad-BE,37,149,1,0.006711,2026-03-27T03:46:08.875794+00:00
ReyJust/eWeLink-API,22,41,0,0.0,2026-03-27T03:46:08.875794+00:00
