repo_full_name,default_branch,stars,lockfile_path,collected_at
allegheny-college-cmpsc-102-Spring-2025/lab01,main,0,search/poetry.lock,2026-03-27T03:43:07.703822+00:00
jackg0/cuda,main,0,poetry.lock,2026-03-27T03:43:07.703850+00:00
xnuinside/airflow_in_docker_compose,main,0,poetry.lock,2026-03-27T03:43:07.703867+00:00
Sean-Miningah/instrumented-django-api,main,0,poetry.lock,2026-03-27T03:43:07.703873+00:00
Hadi-Mohseni/playstation-store-scraper,main,0,poetry.lock,2026-03-27T03:43:07.703879+00:00
aled1027/mysite-django-wagtail,main,0,poetry.lock,2026-03-27T03:43:07.703884+00:00
AzuGitGud/IITMOD-QSA,main,0,poetry.lock,2026-03-27T03:43:07.703889+00:00
Mentha7/childes-ud,main,0,poetry.lock,2026-03-27T03:43:07.703893+00:00
ONS-Innovation/backstage-perfect-repo,main,0,poetry.lock,2026-03-27T03:43:07.703898+00:00
hy-sksem/AtCoder,main,0,poetry.lock,2026-03-27T03:43:07.703902+00:00
pogross/qlik-engine-helper,main,0,poetry.lock,2026-03-27T03:43:07.703907+00:00
angel-valdezzz/playwright-python-example,main,0,poetry.lock,2026-03-27T03:43:07.703912+00:00
kr1stoff/KML-16S-2,main,0,poetry.lock,2026-03-27T03:43:07.703918+00:00
HighL0ad/Mafia_Game_for_holbies,main,0,poetry.lock,2026-03-27T03:43:07.703923+00:00
aoi86625/line-gpt-bot,main,0,poetry.lock,2026-03-27T03:43:07.703927+00:00
fadihboubati/madlib-cli,main,0,poetry.lock,2026-03-27T03:43:07.703933+00:00
Halone228/GeneticAlgorithm,main,0,poetry.lock,2026-03-27T03:43:07.703938+00:00
DMC09/grocer-app-backend,main,0,poetry.lock,2026-03-27T03:43:07.703945+00:00
Sylver11/buttonhole,main,0,poetry.lock,2026-03-27T03:43:07.703951+00:00
nobeam/example-package-timer,main,0,poetry.lock,2026-03-27T03:43:07.703956+00:00
miguellrodrigues/rtb_toolbox,main,0,poetry.lock,2026-03-27T03:43:07.703960+00:00
trujicata/ancapdatachallenge,main,0,poetry.lock,2026-03-27T03:43:07.703965+00:00
Kleber-JF/bookstore-ebac,main,0,poetry.lock,2026-03-27T03:43:07.703970+00:00
jo-migo/job-lib,main,0,poetry.lock,2026-03-27T03:43:07.703975+00:00
lovolopa/CourseWork,main,0,poetry.lock,2026-03-27T03:43:07.703980+00:00
maryemchk/TSP-solver,main,0,poetry.lock,2026-03-27T03:43:07.703985+00:00
CrispyCrafter/PexPOC,main,0,poetry.lock,2026-03-27T03:43:07.703990+00:00
bluesheeptoken/vocabulaire-japonais,main,0,poetry.lock,2026-03-27T03:43:07.703994+00:00
Drusseldorf/learning_fastapi,main,0,poetry.lock,2026-03-27T03:43:07.703999+00:00
Vikgur/product-basket-tests-english-vers,main,0,poetry.lock,2026-03-27T03:43:07.704004+00:00
ReyJust/eWeLink-API,main,0,poetry.lock,2026-03-27T03:43:07.704008+00:00
Graeme-Smith/dx-reports,main,0,poetry.lock,2026-03-27T03:43:07.704013+00:00
awakia/slack-exporter,main,0,poetry.lock,2026-03-27T03:43:07.704018+00:00
IronicUsername/XMLer,main,0,poetry.lock,2026-03-27T03:43:07.704023+00:00
RonquilloAeon/fastapi-eventsourcing,main,0,poetry.lock,2026-03-27T03:43:07.704028+00:00
NasirovEF/homework-24-25,main,0,poetry.lock,2026-03-27T03:43:07.704033+00:00
hellorusk-sandbox/BERT_NER,main,0,poetry.lock,2026-03-27T03:43:07.704038+00:00
Yixuan0000/AD688_Group5.github.io,main,0,poetry.lock,2026-03-27T03:43:07.704043+00:00
duca-meneses/flask-desafio,main,0,poetry.lock,2026-03-27T03:43:07.704047+00:00
gaiaaiagent/gaia-fdg,main,0,poetry.lock,2026-03-27T03:43:07.704052+00:00
manabu-reef/fastapi-241130,main,0,poetry.lock,2026-03-27T03:43:07.704056+00:00
Gabdulla-Khakiev/vacancies_search_with_DB,main,0,poetry.lock,2026-03-27T03:43:07.704062+00:00
kbuhantsev/djangoProject,main,0,poetry.lock,2026-03-27T03:43:07.704066+00:00
imkushwaha/mlproject,main,0,poetry.lock,2026-03-27T03:43:07.704071+00:00
iggy18/school-api,main,0,poetry.lock,2026-03-27T03:43:07.704084+00:00
ta4ilka69/Alg-acc-machine,main,0,poetry.lock,2026-03-27T03:43:07.704089+00:00
E-Kryuger/Project_1_SkyBank,main,0,poetry.lock,2026-03-27T03:43:07.704094+00:00
ViktorChayun/goit-final-project,main,0,poetry.lock,2026-03-27T03:43:07.704098+00:00
jer164/ANESPy,main,0,poetry.lock,2026-03-27T03:43:07.704103+00:00
mariocastella/car_rental_api,main,0,poetry.lock,2026-03-27T03:43:07.704108+00:00
takagisou/django-poetry-render-example,main,0,poetry.lock,2026-03-27T03:43:07.704113+00:00
koliaok/ko_bigbird,main,0,poetry.lock,2026-03-27T03:43:07.704117+00:00
gabrielrih/sqlpinger,main,0,poetry.lock,2026-03-27T03:43:07.704122+00:00
designunit/unit-na-tihom-tgbot,main,0,poetry.lock,2026-03-27T03:43:07.704130+00:00
elainehello/simple-task-tracker,main,0,poetry.lock,2026-03-27T03:43:07.704135+00:00
tolatolatop/versiontaskmanager,main,0,poetry.lock,2026-03-27T03:43:07.704140+00:00
ONS-Innovation/kayla_etl_test_bt,main,0,poetry.lock,2026-03-27T03:43:08.640573+00:00
ONS-Innovation/seb-test,main,0,poetry.lock,2026-03-27T03:43:08.640596+00:00
Textualize/rich,main,0,poetry.lock,2026-03-27T03:43:08.640601+00:00
cohere-ai/quick-start-connectors,main,0,techcrunch/poetry.lock,2026-03-27T03:43:08.640604+00:00
gurdeeep/-Influencer-Engagement-Sponsorship-Co-ordination-Platform-,main,0,code/poetry.lock,2026-03-27T03:43:08.640607+00:00
christian-nickerson/vu1-monitor,main,0,poetry.lock,2026-03-27T03:43:08.640610+00:00
Koodies/fastapi-boilerplate,main,0,poetry.lock,2026-03-27T03:43:08.640613+00:00
takelushi/dmm-api-py,main,0,poetry.lock,2026-03-27T03:43:08.640615+00:00
andyhuynh3/sheet-sql,main,0,poetry.lock,2026-03-27T03:43:08.640617+00:00
gorira-tatsu/LIKE-fastAPI-ver,main,0,poetry.lock,2026-03-27T03:43:08.640620+00:00
SavinovaIren/HW27,main,0,poetry.lock,2026-03-27T03:43:08.640623+00:00
ninyawee/pytalentsolution,main,0,poetry.lock,2026-03-27T03:43:08.640626+00:00
HuangFuSL/pytorch-project-template,main,0,poetry.lock,2026-03-27T03:43:08.640629+00:00
glefer/docker-volumes-analyzer,main,0,poetry.lock,2026-03-27T03:43:08.640631+00:00
RonMallory/data-science-example,main,0,poetry.lock,2026-03-27T03:43:08.640634+00:00
kawunus/bsuir-schedule-parser,main,0,poetry.lock,2026-03-27T03:43:08.640636+00:00
Tabris-ZX/qusbank,main,0,poetry.lock,2026-03-27T03:43:08.640639+00:00
VolodymyrKyba/Home_work_DS_3,main,0,poetry.lock,2026-03-27T03:43:08.640641+00:00
dan-osull/python_async_in_memory_db,main,0,poetry.lock,2026-03-27T03:43:08.640644+00:00
GoogleCloudPlatform/solutions-builder,main,0,poetry.lock,2026-03-27T03:43:08.640646+00:00
martiantechs/gitww,main,0,backend-fastapi/poetry.lock,2026-03-27T03:43:08.640651+00:00
sitbon/lazi,main,0,poetry.lock,2026-03-27T03:43:08.640654+00:00
AkiiraBino/parser-VSA,main,0,poetry.lock,2026-03-27T03:43:08.640656+00:00
aaryabpandey/ryot,main,0,docs/poetry.lock,2026-03-27T03:43:08.640659+00:00
anthle396/DiscordGymBotTest,main,0,poetry.lock,2026-03-27T03:43:08.640661+00:00
AleksiSaxlund/TiraLabra,main,0,poetry.lock,2026-03-27T03:43:08.640664+00:00
ErickMUOSD/YoutubeVideoToMp3,main,0,poetry.lock,2026-03-27T03:43:08.640666+00:00
nschlewitz/mkdocs,main,0,poetry.lock,2026-03-27T03:43:08.640668+00:00
takeYY/filmography,main,0,api/poetry.lock,2026-03-27T03:43:08.640671+00:00
bcgov/bcros-common,main,0,status-api/poetry.lock,2026-03-27T03:43:08.640674+00:00
AlanJui/poetry-tshu-im,main,0,poetry.lock,2026-03-27T03:43:08.640676+00:00
marcopaspuel/deploying-ml-model-azure-devops,main,0,poetry.lock,2026-03-27T03:43:08.640678+00:00
NadyaTyeva/project14,main,0,poetry.lock,2026-03-27T03:43:08.640681+00:00
Khapaevv/Diplom,main,0,poetry.lock,2026-03-27T03:43:08.640683+00:00
spiriusab/spirius-smpp-tools,main,0,poetry.lock,2026-03-27T03:43:08.640685+00:00
kaykRodr1gu3s/Epiphany,main,0,poetry.lock,2026-03-27T03:43:08.640688+00:00
kureta/ml-template,main,0,poetry.lock,2026-03-27T03:43:08.640690+00:00
chuckpr/pelican-jupyter-reader,main,0,poetry.lock,2026-03-27T03:43:08.640693+00:00
ahupp/unit-syntax,main,0,poetry.lock,2026-03-27T03:43:08.640695+00:00
hawkaa/pygeojson,main,0,poetry.lock,2026-03-27T03:43:08.640697+00:00
sensynehealth/polaris-sms-api,main,0,poetry.lock,2026-03-27T03:43:08.640699+00:00
ninolus/dibako_tts,main,0,poetry.lock,2026-03-27T03:43:08.640702+00:00
nepet/homelab-trampoline-server,main,0,poetry.lock,2026-03-27T03:43:08.640704+00:00
soumik12345/pytorch-save-load,main,0,poetry.lock,2026-03-27T03:43:08.640706+00:00
arthist-lmu/artigo,main,0,api/poetry.lock,2026-03-27T03:43:08.640709+00:00
marcin-kwiatkowski/pg-abd-workshop,main,0,fastapi/poetry.lock,2026-03-27T03:43:08.640712+00:00
kumulustech/RapidSwarm,main,0,poetry.lock,2026-03-27T03:43:08.640715+00:00
catherinegomes/benchling-inventory,main,0,poetry.lock,2026-03-27T03:43:08.640717+00:00
Stillyc1/course_project,main,0,poetry.lock,2026-03-27T03:43:08.640719+00:00
mustakinshvn/Fullstack-Todo-App-with-FastAPI-SQLModel-Nextjs,main,0,poetry.lock,2026-03-27T03:43:08.640722+00:00
yktakaha4/rdb-lock-newbie,main,0,poetry.lock,2026-03-27T03:43:08.640724+00:00
adil-houdaibi/job_scraper,main,0,web_scraper/poetry.lock,2026-03-27T03:43:08.640727+00:00
rentouch/natsjwt,main,0,poetry.lock,2026-03-27T03:43:09.207442+00:00
Thijsvandepoll/many,main,0,poetry.lock,2026-03-27T03:43:09.207464+00:00
michelcrypt4d4mus/ethecycle,main,0,poetry.lock,2026-03-27T03:43:09.207470+00:00
amis-shokoohi/kapak,main,0,poetry.lock,2026-03-27T03:43:09.207474+00:00
JanB1989/TranscriptCollector,main,0,poetry.lock,2026-03-27T03:43:09.207479+00:00
